,brandName,storeName,phoneNumber,street,suburb,state,country,postcode,latitude,longitude,openingHours,services
0,BIG W,BIG W Carnes Hill,1300411875,245 Cowpasture Road ,Horningsea Park,NSW,Australia,2171,-33.937897,150.84552,"['Monday: 8:30 AM - 8:00 PM', 'Tuesday: 8:30 AM - 8:00 PM', 'Wednesday: 8:30 AM - 8:00 PM', 'Thursday: 8:30 AM - 9:00 PM', 'Friday: 8:30 AM - 8:00 PM', 'Saturday: 8:00 AM - 8:00 PM', 'Sunday: 9:00 AM - 7:00 PM']","['Bike Build', 'Direct to Boot', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
1,BIG W,BIG W North Albury,1300411875,Griffith Road ,Lavington,NSW,Australia,2641,-36.04352,146.94371,"['Monday: 8:30 AM - 6:00 PM', 'Tuesday: 8:30 AM - 6:00 PM', 'Wednesday: 8:30 AM - 6:00 PM', 'Thursday: 8:30 AM - 8:00 PM', 'Friday: 8:30 AM - 6:00 PM', 'Saturday: 8:30 AM - 6:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Bike Build', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
2,BIG W,BIG W Gladstone,1300411875,Corner of Dawson Highway and Phillip Street ,Gladstone,QLD,Australia,4680,-23.95336,151.37465,"['Monday: 8:00 AM - 6:00 PM', 'Tuesday: 8:00 AM - 6:00 PM', 'Wednesday: 8:00 AM - 6:00 PM', 'Thursday: 8:00 AM - 8:00 PM', 'Friday: 8:00 AM - 6:00 PM', 'Saturday: 8:00 AM - 5:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Bike Build', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
3,BIG W,BIG W Underwood,1300411875,Corner of Logan Road and Beenleigh Road ,Underwood,QLD,Australia,4119,-27.60725,153.10986,"['Monday: 8:30 AM - 6:00 PM', 'Tuesday: 8:30 AM - 6:00 PM', 'Wednesday: 8:30 AM - 6:00 PM', 'Thursday: 8:30 AM - 8:00 PM', 'Friday: 8:30 AM - 6:00 PM', 'Saturday: 8:30 AM - 5:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Bike Build', 'Direct to Boot', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
4,BIG W,BIG W Highpoint,1300411875,Rosamond Road ,Maribyrnong,VIC,Australia,3032,-37.76912,144.88646,"['Monday: 8:00 AM - 6:00 PM', 'Tuesday: 8:00 AM - 6:00 PM', 'Wednesday: 8:00 AM - 6:00 PM', 'Thursday: 8:00 AM - 10:00 PM', 'Friday: 8:00 AM - 10:00 PM', 'Saturday: 8:00 AM - 7:00 PM', 'Sunday: 9:00 AM - 6:00 PM']","['Bike Build', 'Direct to Boot', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
5,BIG W,BIG W Karingal,1300411875,Karingal Road and Cranbourne Road ,Karingal,VIC,Australia,3199,-38.140575,145.15565,"['Monday: 8:00 AM - 8:00 PM', 'Tuesday: 8:00 AM - 8:00 PM', 'Wednesday: 8:00 AM - 8:00 PM', 'Thursday: 8:00 AM - 9:00 PM', 'Friday: 8:00 AM - 9:00 PM', 'Saturday: 8:00 AM - 7:00 PM', 'Sunday: 9:00 AM - 6:00 PM']","['Bike Build', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
6,BIG W,BIG W Shepparton,1300411875,Benalla Road ,Shepparton,VIC,Australia,3630,-36.3864,145.42418,"['Monday: 8:00 AM - 7:00 PM', 'Tuesday: 8:00 AM - 7:00 PM', 'Wednesday: 8:00 AM - 7:00 PM', 'Thursday: 8:00 AM - 7:00 PM', 'Friday: 8:00 AM - 9:00 PM', 'Saturday: 8:00 AM - 6:00 PM', 'Sunday: 9:00 AM - 6:00 PM']","['Bike Build', 'Direct to Boot', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
7,BIG W,BIG W Townsville,1300411875,Corner of Nathan Road and Ross River Road ,Aitkenvale,QLD,Australia,4814,-19.299183,146.76422,"['Monday: 8:30 AM - 6:00 PM', 'Tuesday: 8:30 AM - 6:00 PM', 'Wednesday: 8:30 AM - 6:59 PM', 'Thursday: 8:30 AM - 8:00 PM', 'Friday: 8:30 AM - 6:00 PM', 'Saturday: 8:30 AM - 5:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Bike Build', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
8,BIG W,BIG W Lismore,1300411875,Corner of Brewster Street and Uralba Street ,Lismore,NSW,Australia,2480,-28.81,153.2898,"['Monday: 8:30 AM - 6:00 PM', 'Tuesday: 8:30 AM - 6:00 PM', 'Wednesday: 8:30 AM - 6:00 PM', 'Thursday: 8:30 AM - 8:00 PM', 'Friday: 8:30 AM - 6:00 PM', 'Saturday: 8:30 AM - 6:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Bike Build', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
9,BIG W,BIG W Chermside,1300411875,Corner of Gympie Rd and Hamilton Road ,Chermside,QLD,Australia,4032,-27.386,153.031,"['Monday: 8:00 AM - 6:00 PM', 'Tuesday: 8:00 AM - 6:00 PM', 'Wednesday: 8:00 AM - 6:00 PM', 'Thursday: 8:00 AM - 9:00 PM', 'Friday: 8:00 AM - 6:00 PM', 'Saturday: 8:00 AM - 6:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Bike Build', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
10,BIG W,BIG W Watergardens,1300411875,399 Melton Highway ,Taylors Lakes,VIC,Australia,3038,-37.69568,144.77206,"['Monday: 8:00 AM - 6:00 PM', 'Tuesday: 8:00 AM - 6:00 PM', 'Wednesday: 8:00 AM - 6:00 PM', 'Thursday: 8:00 AM - 9:00 PM', 'Friday: 8:00 AM - 9:00 PM', 'Saturday: 8:00 AM - 7:00 PM', 'Sunday: 9:00 AM - 6:00 PM']","['Bike Build', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
11,BIG W,BIG W Noosa,1300411875,28 Eenie Creek Road ,Noosaville,QLD,Australia,4566,-26.416084,153.04921,"['Monday: 8:30 AM - 6:00 PM', 'Tuesday: 8:30 AM - 6:00 PM', 'Wednesday: 8:30 AM - 6:00 PM', 'Thursday: 8:30 AM - 7:00 PM', 'Friday: 8:30 AM - 6:00 PM', 'Saturday: 8:00 AM - 6:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Bike Build', 'Direct to Boot', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
12,BIG W,BIG W Mudgee,1300411875,Corner of Market Street and Perry Street ,Mudgee,NSW,Australia,2850,-32.590492,149.58641,"['Monday: 8:30 AM - 6:00 PM', 'Tuesday: 8:30 AM - 6:00 PM', 'Wednesday: 8:30 AM - 6:00 PM', 'Thursday: 8:30 AM - 7:00 PM', 'Friday: 8:30 AM - 6:00 PM', 'Saturday: 8:30 AM - 6:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Bike Build', 'Direct to Boot', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
13,BIG W,BIG W Bankstown,1300411875,1A North Terrace ,Bankstown,NSW,Australia,2200,-33.914185,151.04149,"['Monday: 8:30 AM - 7:00 PM', 'Tuesday: 8:30 AM - 7:00 PM', 'Wednesday: 8:30 AM - 7:00 PM', 'Thursday: 8:30 AM - 10:00 PM', 'Friday: 8:30 AM - 7:00 PM', 'Saturday: 8:30 AM - 7:00 PM', 'Sunday: 9:00 AM - 6:00 PM']","['Bike Build', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
14,BIG W,BIG W North Lakes,1300411875,Corner of Bruce Highway and Anzac Avenue ,Mango Hill,QLD,Australia,4509,-27.24161,153.0146,"['Monday: 8:00 AM - 6:00 PM', 'Tuesday: 8:00 AM - 6:00 PM', 'Wednesday: 8:00 AM - 6:00 PM', 'Thursday: 8:00 AM - 9:00 PM', 'Friday: 8:00 AM - 6:00 PM', 'Saturday: 8:00 AM - 6:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Bike Build', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
15,BIG W,BIG W South Yarra,1300411875,670 Chapel Street ,South Yarra,VIC,Australia,3141,-37.837227,144.99629,"['Monday: 8:00 AM - 9:00 PM', 'Tuesday: 8:00 AM - 9:00 PM', 'Wednesday: 8:00 AM - 9:00 PM', 'Thursday: 8:00 AM - 10:00 PM', 'Friday: 8:00 AM - 10:00 PM', 'Saturday: 8:00 AM - 10:00 PM', 'Sunday: 9:00 AM - 9:00 PM']","['Bike Build', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
16,BIG W,BIG W Brickworks,1300411875,Corner of Ashwin Parade and South Road ,Torrensville,SA,Australia,5031,-34.914047,138.56444,"['Monday: 9:00 AM - 7:00 PM', 'Tuesday: 9:00 AM - 7:00 PM', 'Wednesday: 9:00 AM - 7:00 PM', 'Thursday: 9:00 AM - 8:00 PM', 'Friday: 9:00 AM - 7:00 PM', 'Saturday: 9:00 AM - 5:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Bike Build', 'Direct to Boot', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
17,BIG W,BIG W Hervey Bay,1300411875,42 Main Street ,Pialba,QLD,Australia,4655,-25.2823,152.8391,"['Monday: 8:00 AM - 6:00 PM', 'Tuesday: 8:00 AM - 6:00 PM', 'Wednesday: 8:00 AM - 6:00 PM', 'Thursday: 8:00 AM - 7:00 PM', 'Friday: 8:00 AM - 6:00 PM', 'Saturday: 8:00 AM - 5:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Bike Build', 'Direct to Boot', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
18,BIG W,BIG W Doncaster,1300411875,619 Doncaster Road ,Doncaster,VIC,Australia,3108,-37.785,145.12619,"['Monday: 8:00 AM - 6:00 PM', 'Tuesday: 8:00 AM - 6:00 PM', 'Wednesday: 8:00 AM - 6:00 PM', 'Thursday: 8:00 AM - 9:00 PM', 'Friday: 8:00 AM - 10:00 PM', 'Saturday: 8:00 AM - 6:00 PM', 'Sunday: 9:00 AM - 6:00 PM']","['Bike Build', 'Direct to Boot', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
19,BIG W,BIG W Lilydale,1300411875,33 Hutchinson Street ,Lilydale,VIC,Australia,3140,-37.75959,145.34766,"['Monday: 8:00 AM - 6:00 PM', 'Tuesday: 8:00 AM - 6:00 PM', 'Wednesday: 8:00 AM - 6:00 PM', 'Thursday: 8:00 AM - 9:00 PM', 'Friday: 8:00 AM - 9:00 PM', 'Saturday: 8:00 AM - 6:00 PM', 'Sunday: 9:00 AM - 6:00 PM']","['Bike Build', 'Direct to Boot', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
20,BIG W,BIG W Yeppoon,1300411875,42-44 Park Street ,Yeppoon,QLD,Australia,4703,-23.132788,150.73695,"['Monday: 8:30 AM - 6:00 PM', 'Tuesday: 8:30 AM - 6:00 PM', 'Wednesday: 8:30 AM - 6:00 PM', 'Thursday: 8:30 AM - 7:00 PM', 'Friday: 8:30 AM - 6:00 PM', 'Saturday: 8:30 AM - 5:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Bike Build', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
21,BIG W,BIG W Liverpool,1300411875,25 George Street ,Liverpool,NSW,Australia,2170,-33.9199,150.9217,"['Monday: 8:30 AM - 7:00 PM', 'Tuesday: 8:30 AM - 7:00 PM', 'Wednesday: 8:30 AM - 7:00 PM', 'Thursday: 8:30 AM - 10:00 PM', 'Friday: 8:30 AM - 7:00 PM', 'Saturday: 8:30 AM - 7:00 PM', 'Sunday: 9:00 AM - 6:00 PM']","['Bike Build', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
